 	رده:انجمن سرطان آمریکا	Category:American_Cancer_Society	American_Cancer_Society
 	رده:ویلیامز، آریزونا	Category:Williams,_Arizona	Williams,_Arizona
 	رده:ویلی برانت	Category:Willy_Brandt	Willy_Brandt
 	رده:ویلزدروف	Category:Wilsdruff	Wilsdruff
 	رده:ویلتون، کنتیکت	Category:Wilton,_Connecticut	Wilton,_Connecticut
 	رده:ویلتن، آیووا	Category:Wilton,_Iowa	Wilton,_Iowa
 	رده:ویلتون، نیوهمپشایر	Category:Wilton,_New_Hampshire	Wilton,_New_Hampshire
 	رده:ویم وندرس	Category:Wim_Wenders	Wim_Wenders
 	رده:وینچستر، نیوهمپشایر	Category:Winchester,_New_Hampshire	Winchester,_New_Hampshire
 	رده:وینگز	Category:Wings_(band)	Wings_(band)
 	رده:وینر (گروه موسیقی)	Category:Winner_(band)	Winner_(band)
 	رده:وینسخوتن	Category:Winschoten	Winschoten
 	رده:وینزن ان در آلر	Category:Winsen_an_der_Aller	Winsen_an_der_Aller
 	رده:باشگاه فوتبال وینسفورد یونایتد	Category:Winsford_United_F.C.	Winsford_United_F.C.
 	رده:وینسوم	Category:Winsum	Winsum
 	رده:وینترز، کالیفرنیا	Category:Winters,_California	Winters,_California
 	رده:وینترست، آیووا	Category:Winterset,_Iowa	Winterset,_Iowa
 	رده:وینترس‌ویک	Category:Winterswijk	Winterswijk
 	رده:پروتکل کاربردی بی‌سیم	Category:Wireless_Application_Protocol	Wireless_Application_Protocol
 	رده:ویسکانسین رپیدز، ویسکانسین	Category:Wisconsin_Rapids,_Wisconsin	Wisconsin_Rapids,_Wisconsin
 	رده:گلیسین (سرده)	Category:Wisteria	Wisteria
 	رده:ویتنبرگ (ناحیه)	Category:Wittenberg_(district)	Wittenberg_(district)
 	رده:ویتیشناو	Category:Wittichenau	Wittichenau
 	رده:ویتموند (ناحیه)	Category:Wittmund_(district)	Wittmund_(district)
 	رده:جادوگران محله ویورلی	Category:Wizards_of_Waverly_Place	Wizards_of_Waverly_Place
 	رده:ووجسواف شلانسکی	Category:Wodzisław_Śląski	Wodzisław_Śląski
 	رده:وونس‌درخت	Category:Woensdrecht	Woensdrecht
 	رده:ووردن	Category:Woerden	Woerden
 	رده:شهرستان ووخا	Category:Wokha_district	Wokha_district
 	رده:وولفبورو، نیوهمپشایر	Category:Wolfeboro,_New_Hampshire	Wolfeboro,_New_Hampshire
 	رده:وولفنبوتل (ناحیه)	Category:Wolfenbüttel_(district)	Wolfenbüttel_(district)
 	رده:اتحادیه بین‌المللی زنان برای صلح و آزادی	Category:Women's_International_League_for_Peace_and_Freedom	Women's_International_League_for_Peace_and_Freedom
 	رده:زنان در قبرس	Category:Women_in_Cyprus	Women_in_Cyprus
 	رده:وودباین، آیووا	Category:Woodbine,_Iowa	Woodbine,_Iowa
 	رده:باشگاه فوتبال وودبریج تاون	Category:Woodbridge_Town_F.C.	Woodbridge_Town_F.C.
 	رده:وودینویل، واشینگتن	Category:Woodinville,_Washington	Woodinville,_Washington
 	رده:وودسویل، نیوهمپشایر	Category:Woodsville,_New_Hampshire	Woodsville,_New_Hampshire
 	رده:خراطی	Category:Woodturning	Woodturning
 	رده:پشم	Category:Wool	Wool
 	رده:حزب کارگران کره	Category:Workers'_Party_of_Korea	Workers'_Party_of_Korea
 	رده:خشونت در محل کار	Category:Workplace_violence	Workplace_violence
 	رده:وورلند، وایومینگ	Category:Worland,_Wyoming	Worland,_Wyoming
 	رده:فدراسیون جهانی کرلینگ	Category:World_Curling_Federation	World_Curling_Federation
 	رده:مسابقات قهرمانی روئینگ جهان	Category:World_Rowing_Championships	World_Rowing_Championships
 	رده:راگبی جهانی	Category:World_Rugby	World_Rugby
 	رده:فدراسیون جهانی قایقرانی بادبانی	Category:World_Sailing	World_Sailing
 	رده:حکومت جهانی	Category:World_government	World_government
 	رده:ورمرلاند	Category:Wormerland	Wormerland
 	رده:وادن‌برخ	Category:Woudenberg	Woudenberg
 	رده:وادریخم	Category:Woudrichem	Woudrichem
 	رده:دانشگاه رایس اسمیت	Category:Wright_State_University	Wright_State_University
 	رده:ملکه زتیان (دودمان ژو دوم)	Category:Wu_Zetian	Wu_Zetian
 	رده:ووچیاپینگین	Category:Wuchiapingian	Wuchiapingian
 	رده:وونسیدل (ناحیه)	Category:Wunsiedel_(district)	Wunsiedel_(district)
 	رده:ووپر	Category:Wupper	Wupper
 	رده:ویاندوت، میشیگان	Category:Wyandotte,_Michigan	Wyandotte,_Michigan
 	رده:وسوکیه مازوویتسکیه	Category:Wysokie_Mazowieckie	Wysokie_Mazowieckie
 	رده:وورتسبورگ (ناحیه)	Category:Würzburg_(district)	Würzburg_(district)
 	رده:مردان ایکس (سریال)	Category:X-Men_(TV_series)	X-Men_(TV_series)
 	رده:شگفت‌بی‌کاواک‌ریختان	Category:Xenacoelomorpha	Xenacoelomorpha
 	رده:عروس صحرایی (سرده)	Category:Xeranthemum	Xeranthemum
 	رده:شی جین پینگ	Category:Xi_Jinping	Xi_Jinping
 	رده:شطرنج چینی	Category:Xiangqi	Xiangqi
 	رده:شیانینگ	Category:Xianning	Xianning
 	رده:شیاوگان	Category:Xiaogan	Xiaogan
 	رده:دودمان شین	Category:Xin_dynasty	Xin_dynasty
 	رده:شین‌هوآ	Category:Xinhua_News_Agency	Xinhua_News_Agency
 	رده:مگس‌های جغدی	Category:Xylophagidae	Xylophagidae
 	رده:انجمن مسیحی مردان جوان	Category:YMCA	YMCA
 	رده:وای‌تی‌وی	Category:YTV_(TV_channel)	YTV_(TV_channel)
 	رده:وای کامبینیتر	Category:Y_Combinator_(company)	Y_Combinator_(company)
 	رده:ید وشم	Category:Yad_Vashem	Yad_Vashem
 	رده:یاهابا، ایواته	Category:Yahaba,_Iwate	Yahaba,_Iwate
 	رده:یامادا، ایواته	Category:Yamada,_Iwate	Yamada,_Iwate
 	رده:یاماکیتا، کاناگاوا	Category:Yamakita,_Kanagawa	Yamakita,_Kanagawa
 	رده:یان‌آن	Category:Yan'an	Yan'an
 	رده:یانگو	Category:Yanggu_County,_Shandong	Yanggu_County,_Shandong
 	رده:یانگژیانگ	Category:Yangjiang	Yangjiang
 	رده:ورزشگاه یانکی (۱۹۲۳)	Category:Yankee_Stadium_(1923)	Yankee_Stadium_(1923)
 	رده:یاراکوی	Category:Yaracuy	Yaracuy
 	رده:دانشگاه یرموک	Category:Yarmouk_University	Yarmouk_University
 	رده:یارموث، جزیره وایت	Category:Yarmouth,_Isle_of_Wight	Yarmouth,_Isle_of_Wight
 	رده:یاشیکا	Category:Yashica	Yashica
 	رده:یاسوجیرو ازو	Category:Yasujirō_Ozu	Yasujirō_Ozu
 	رده:متروی یکاترینبورگ	Category:Yekaterinburg_Metro	Yekaterinburg_Metro
 	رده:شهرستان یل، آرکانزاس	Category:Yell_County,_Arkansas	Yell_County,_Arkansas
 	رده:غول‌دهانه یلواستون	Category:Yellowstone_Caldera	Yellowstone_Caldera
 	رده:یئوجو	Category:Yeoju	Yeoju
 	رده:یتی	Category:Yeti	Yeti
 	رده:یایژنگ	Category:Yizheng	Yizheng
 	رده:ایالت یوبه	Category:Yobe_State	Yobe_State
 	رده:یوکوهاما، آئوموری	Category:Yokohama,_Aomori	Yokohama,_Aomori
 	رده:متروی یوکوهاما	Category:Yokohama_Municipal_Subway	Yokohama_Municipal_Subway
 	رده:یونابارو، اوکیناوا	Category:Yonabaru,_Okinawa	Yonabaru,_Okinawa
 	رده:یوناگونی، اوکیناوا	Category:Yonaguni,_Okinawa	Yonaguni,_Okinawa
 	رده:یونگژو	Category:Yongzhou	Yongzhou
 	رده:یورک، نیویورک	Category:Yorktown,_New_York	Yorktown,_New_York
 	رده:یوشینو، نارا	Category:Yoshino,_Nara	Yoshino,_Nara
 	رده:ترکان جوان	Category:Young_Turks	Young_Turks
 	رده:یوئه فی	Category:Yue_Fei	Yue_Fei
 	رده:یولین	Category:Yulin,_Shaanxi	Yulin,_Shaanxi
 	رده:یومارتالیک	Category:Yumurtalık	Yumurtalık
 	رده:یونا (خواننده)	Category:Yuna_(singer)	Yuna_(singer)
 	رده:یانگچنگ	Category:Yuncheng	Yuncheng
 	رده:یانفو	Category:Yunfu	Yunfu
 	رده:یوکسی	Category:Yuxi	Yuxi
 	رده:یوباری، هوکایدو	Category:Yūbari,_Hokkaido	Yūbari,_Hokkaido
 	رده:یوسوی، کاگوشیما	Category:Yūsui,_Kagoshima	Yūsui,_Kagoshima
 	رده:زاندام	Category:Zaandam	Zaandam
 	رده:استان زغوان	Category:Zaghouan_Governorate	Zaghouan_Governorate
 	رده:زالت‌بومل	Category:Zaltbommel	Zaltbommel
 	رده:زامبوانگا	Category:Zamboanga_City	Zamboanga_City
 	رده:ایالت زامفارا	Category:Zamfara_State	Zamfara_State
 	رده:سامرا (اسپانیا)	Category:Zamora,_Spain	Zamora,_Spain
 	رده:زاندفورت	Category:Zandvoort	Zandvoort
 	رده:سارا لارشن	Category:Zara_Larsson	Zara_Larsson
 	رده:زاتوایچی	Category:Zatoichi	Zatoichi
 	رده:ذرت (سرده)	Category:Zea_(plant)	Zea_(plant)
 	رده:شیلند	Category:Zealand	Zealand
 	رده:زیدریک	Category:Zederik	Zederik
 	رده:زی‌ولده	Category:Zeewolde	Zeewolde
 	رده:موشک زنیت	Category:Zenit_(rocket_family)	Zenit_(rocket_family)
 	رده:ازگوژلتس	Category:Zgorzelec	Zgorzelec
 	رده:ژانگژیانگانگ	Category:Zhangjiagang	Zhangjiagang
 	رده:ژانگی	Category:Zhangye	Zhangye
 	رده:چو ان‌لای	Category:Zhou_Enlai	Zhou_Enlai
 	رده:جواشان	Category:Zhoushan	Zhoushan
 	رده:چو هسی	Category:Zhu_Xi	Zhu_Xi
 	رده:ناحیه زیامه منصوریه	Category:Ziama_Mansouriah_District	Ziama_Mansouriah_District
 	رده:ضیاء الرحمن	Category:Ziaur_Rahman	Ziaur_Rahman
 	رده:زیگانگ	Category:Zigong	Zigong
 	رده:ناحیه زیگینچور	Category:Ziguinchor_Region	Ziguinchor_Region
 	رده:تیم ملی فوتبال زنان زیمبابوه	Category:Zimbabwe_women's_national_football_team	Zimbabwe_women's_national_football_team
 	رده:سیپاگیرا	Category:Zipaquirá	Zipaquirá
 	رده:زیرکن	Category:Zircon	Zircon
 	رده:زایتانگ	Category:Zitong_County	Zitong_County
 	رده:زودیاک قاتل	Category:Zodiac_Killer	Zodiac_Killer
 	رده:زوئرسل	Category:Zoersel	Zoersel
 	رده:زوترواده	Category:Zoeterwoude	Zoeterwoude
 	رده:تسولرنالبکرایس	Category:Zollernalbkreis	Zollernalbkreis
 	رده:زو تایکون	Category:Zoo_Tycoon	Zoo_Tycoon
 	رده:نواری	Category:Zostera	Zostera
 	رده:زایدپلاس	Category:Zuidplas	Zuidplas
 	رده:زومپانگو	Category:Zumpango	Zumpango
 	رده:شهرستان زانهیبوتو	Category:Zunheboto_district	Zunheboto_district
 	رده:زونیای	Category:Zunyi	Zunyi
 	رده:زوچان	Category:Zvečan	Zvečan
 	رده:زوارته‌واترلاند	Category:Zwartewaterland	Zwartewaterland
 	رده:تسویکاو (ناحیه)	Category:Zwickau_(district)	Zwickau_(district)
 	رده:یوغی‌جلبکان	Category:Zygnematophyceae	Zygnematophyceae
 	رده:ثعلب‌های زیگوپتالوم	Category:Zygopetalum	Zygopetalum
 	رده:آبیلا	Category:Ávila,_Spain	Ávila,_Spain
 	رده:چهارشنبه	Category:Çarşamba	Çarşamba
 	رده:چای‌جوما	Category:Çaycuma	Çaycuma
 	رده:چلیخان	Category:Çelikhan	Çelikhan
 	رده:چرمیک	Category:Çermik	Çermik
 	رده:بخش اککرا	Category:Öckerö_Municipality	Öckerö_Municipality
 	رده:اوگتای‌خان	Category:Ögedei_Khan	Ögedei_Khan
 	رده:باشگاه فوتبال اوسترشوندس	Category:Östersunds_FK	Östersunds_FK
 	رده:بخش آستروکر	Category:Österåker_Municipality	Österåker_Municipality
 	رده:اورسکوگ	Category:Ørskog	Ørskog
 	رده:اورستا	Category:Ørsta	Ørsta
 	رده:اورگوپ	Category:Ürgüp	Ürgüp
 	رده:چاینیچه	Category:Čajniče	Čajniče
 	رده:چسکی کروملوف	Category:Český_Krumlov	Český_Krumlov
 	رده:امام‌اغلو	Category:İmamoğlu	İmamoğlu
 	رده:ناحیه اسکله	Category:İskele_District	İskele_District
 	رده:متروی ازمیر	Category:İzmir_Metro	İzmir_Metro
 	رده:وویچ	Category:Łowicz	Łowicz
 	رده:اوفوناتو، ایواته	Category:Ōfunato,_Iwate	Ōfunato,_Iwate
 	رده:اوهیرا، میاگی	Category:Ōhira,_Miyagi	Ōhira,_Miyagi
 	رده:اوما، آئوموری	Category:Ōma,_Aomori	Ōma,_Aomori
 	رده:ولایت اومی	Category:Ōmi_Province	Ōmi_Province
 	رده:اوساکی، میاگی	Category:Ōsaki,_Miyagi	Ōsaki,_Miyagi
 	رده:اوساتو، میاگی	Category:Ōsato,_Miyagi	Ōsato,_Miyagi
 	رده:اوشو، ایواته	Category:Ōshū,_Iwate	Ōshū,_Iwate
 	رده:اوتسوچی، ایواته	Category:Ōtsuchi,_Iwate	Ōtsuchi,_Iwate
 	رده:اووانی، آئوموری	Category:Ōwani,_Aomori	Ōwani,_Aomori
 	رده:شرفلی قوچ‌حصار	Category:Şereflikoçhisar	Şereflikoçhisar
 	رده:شاماتس	Category:Šamac,_Bosnia_and_Herzegovina	Šamac,_Bosnia_and_Herzegovina
 	رده:ژوری	Category:Żory	Żory
 	رده:ناحیه کاراس	Category:ǁKaras_Region	ǁKaras_Region
 	رده:پژوهشگاه ایمز ناسا	Category:Ames_Research_Center	Ames_Research_Center
 	رده:بخش اننت ناگ	Category:Anantnag_district	Anantnag_district
 	رده:آپتوس، کالیفورنیا	Category:Aptos,_California	Aptos,_California
 	رده:انگورهای خرس	Category:Arctostaphylos	Arctostaphylos
 	رده:شراب‌سازی در ارمنستان	Category:Armenian_wine	Armenian_wine
 	رده:آرتمیس فاول	Category:Artemis_Fowl	Artemis_Fowl
 	رده:منطقه السویدا	Category:As-Suwayda_District	As-Suwayda_District
 	رده:جغدمگس	Category:Ascalaphidae	Ascalaphidae
 	رده:ناحیه استور	Category:Astore_District	Astore_District
 	رده:منطقه الاتارب	Category:Atarib_District	Atarib_District
 	رده:عایاش، آنکارا	Category:Ayaş,_Ankara	Ayaş,_Ankara
 	رده:منطقه عین العرب	Category:Ayn_al-Arab_District	Ayn_al-Arab_District
 	رده:جایزه بزرگ بحرین	Category:Bahrain_Grand_Prix	Bahrain_Grand_Prix
 	رده:شهرداری بالوی	Category:Balvi_Municipality	Balvi_Municipality
 	رده:بالآ، آنکارا	Category:Balâ,_Ankara	Balâ,_Ankara
 	رده:بنادر (استان)	Category:Banaadir	Banaadir
 	رده:بخش بانده	Category:Banda_district	Banda_district
 	رده:بنی‌کنانه	Category:Banu_Kinanah	Banu_Kinanah
 	رده:بنی‌زهره	Category:Banu_Zuhrah	Banu_Zuhrah
 	رده:بارک‌زایی	Category:Barakzai_dynasty	Barakzai_dynasty
 	رده:سبدبافی	Category:Basket_weaving	Basket_weaving
 	رده:ببس (صدا)	Category:Bass_(sound)	Bass_(sound)
 	رده:بی‌بی رکسا	Category:Bebe_Rexha	Bebe_Rexha
 	رده:بلگریویا	Category:Belgravia	Belgravia
 	رده:بنات‌النعش	Category:Big_Dipper	Big_Dipper
 	رده:بلو نت رکوردز	Category:Blue_Note_Records	Blue_Note_Records
 	رده:منطقه بالسوور	Category:Bolsover_District	Bolsover_District
 	رده:ناحیه برگنتس	Category:Bregenz_District	Bregenz_District
 	رده:بریتیش میدلند اینترنشنال	Category:British_Midland_International	British_Midland_International
 	رده:بروک آندر لایتا	Category:Bruck_an_der_Leitha	Bruck_an_der_Leitha
 	رده:کمبرلی	Category:Camberley	Camberley
 	رده:کارولینا (پورتوریکو)	Category:Carolina,_Puerto_Rico	Carolina,_Puerto_Rico
 	رده:موسیقی سلتیک	Category:Celtic_music	Celtic_music
 	رده:بخش چمولی	Category:Chamoli_district	Chamoli_district
 	رده:شارلوت هورنتس	Category:Charlotte_Hornets	Charlotte_Hornets
 	رده:بیابان چی‌واوا	Category:Chihuahuan_Desert	Chihuahuan_Desert
 	رده:بخش چتور	Category:Chittoor_district	Chittoor_district
 	رده:کریسچن ساینس	Category:Christian_Science	Christian_Science
 	رده:لوسمی مزمن لنفاوی	Category:Chronic_lymphocytic_leukemia	Chronic_lymphocytic_leukemia
 	رده:خاندان چوسوکابه	Category:Chōsokabe_clan	Chōsokabe_clan
 	رده:کاهش تغییرات آب‌وهوایی	Category:Climate_change_mitigation	Climate_change_mitigation
 	رده:بخش کوئمبتور	Category:Coimbatore_district	Coimbatore_district
 	رده:ادبیات کلمبیایی	Category:Colombian_literature	Colombian_literature
 	رده:جامعه کشورهای پرتغالی‌زبان	Category:Community_of_Portuguese_Language_Countries	Community_of_Portuguese_Language_Countries
 	رده:تمرکز در مالکیت رسانه‌ها	Category:Concentration_of_media_ownership	Concentration_of_media_ownership
 	رده:مردمان کری	Category:Cree	Cree
 	رده:شیر لخته	Category:Curd	Curd
 	رده:زیرساخت دوچرخه‌سواری	Category:Cycling_infrastructure	Cycling_infrastructure
 	رده:داکورام	Category:Dacorum	Dacorum
 	رده:دایملر-موتورن	Category:Daimler_Motoren_Gesellschaft	Daimler_Motoren_Gesellschaft
 	رده:درین، کنتیکت	Category:Darien,_Connecticut	Darien,_Connecticut
 	رده:صفات تیره شخصیت	Category:Dark_triad	Dark_triad
 	رده:لیکوهای کوتوله	Category:Dasycrotapha	Dasycrotapha
 	رده:خاندان داته	Category:Date_clan	Date_clan
 	رده:بخش دهرماپوری	Category:Dharmapuri_district	Dharmapuri_district
 	رده:بخش دیما	Category:Dima_Hasao_district	Dima_Hasao_district
 	رده:بخش دیندیگل	Category:Dindigul_district	Dindigul_district
 	رده:دالیچ	Category:Dulwich	Dulwich
 	رده:لیندسی شرقی	Category:East_Lindsey	East_Lindsey
 	رده:قیام عید پاک	Category:Easter_Rising	Easter_Rising
 	رده:اجباستون	Category:Edgbaston	Edgbaston
 	رده:پادشاهی ادوم	Category:Edom	Edom
 	رده:الکترونیک راک	Category:Electronic_rock	Electronic_rock
 	رده:الکتروتراپی	Category:Electrotherapy	Electrotherapy
 	رده:انیس‌کیلن	Category:Enniskillen	Enniskillen
 	رده:اپی‌تالاموس	Category:Epithalamus	Epithalamus
 	رده:اپسم	Category:Epsom	Epsom
 	رده:ایریژر	Category:Erasure	Erasure
 	رده:بیابان‌رست	Category:Eremophila_(plant)	Eremophila_(plant)
 	رده:اژدرماران بر قدیم	Category:Erycinae	Erycinae
 	رده:اورن، آنکارا	Category:Evren,_Ankara	Evren,_Ankara
 	رده:جنگ بین امین و مأمون	Category:Fourth_Fitna	Fourth_Fitna
 	رده:گاستون‌مرغان	Category:Gastornithiformes	Gastornithiformes
 	رده:جرج میسون	Category:George_Mason	George_Mason
 	رده:آموزش تیزهوشان	Category:Gifted_education	Gifted_education
 	رده:بخش گیر سومناته	Category:Gir_Somnath_district	Gir_Somnath_district
 	رده:دوران طلایی سینمای مکزیک	Category:Golden_Age_of_Mexican_cinema	Golden_Age_of_Mexican_cinema
 	رده:گلدن هرس‌شو	Category:Golden_Horseshoe	Golden_Horseshoe
 	رده:راه‌آهن گوتهارد	Category:Gotthard_railway	Gotthard_railway
 	رده:فرماندهان ارشد شوالیه‌های معبد	Category:Grand_Masters_of_the_Knights_Templar	Grand_Masters_of_the_Knights_Templar
 	رده:کلان‌شهر تورنتو	Category:Greater_Toronto_Area	Greater_Toronto_Area
 	رده:بخش گنتور	Category:Guntur_district	Guntur_district
 	رده:ناحیه گوادر	Category:Gwadar_District	Gwadar_District
 	رده:گودول	Category:Güdül	Güdül
 	رده:حضرمی‌ها	Category:Hadhrami_people	Hadhrami_people
 	رده:ناحیه حافظ‌آباد	Category:Hafizabad_District	Hafizabad_District
 	رده:دین هاوایی‌ها	Category:Hawaiian_religion	Hawaiian_religion
 	رده:چشم‌سفیدهای ناشناس	Category:Heleia	Heleia
 	رده:هلز کیچن (منهتن)	Category:Hell's_Kitchen,_Manhattan	Hell's_Kitchen,_Manhattan
 	رده:هیگاشی-کو، ساپورو	Category:Higashi-ku,_Sapporo	Higashi-ku,_Sapporo
 	رده:خاندان هوندا	Category:Honda_clan	Honda_clan
 	رده:هواهین	Category:Huahine	Huahine
 	رده:هایدرو-کبک	Category:Hydro-Québec	Hydro-Québec
 	رده:باشگاه فوتبال نورشوپینگ	Category:IFK_Norrköping	IFK_Norrköping
 	رده:خاندان ایچیجو	Category:Ichijō_family	Ichijō_family
 	رده:ایسلامی	Category:Iisalmi	Iisalmi
 	رده:خاندان ایکدا	Category:Ikeda_clan	Ikeda_clan
 	رده:شهرداری ایلوکست	Category:Ilūkste_Municipality	Ilūkste_Municipality
 	رده:مهاجرت به یونان	Category:Immigration_to_Greece	Immigration_to_Greece
 	رده:مؤسسه مهندسی و تکنولوژی	Category:Institution_of_Engineering_and_Technology	Institution_of_Engineering_and_Technology
 	رده:اتحادیه بین‌المجالس	Category:Inter-Parliamentary_Union	Inter-Parliamentary_Union
 	رده:یگان آزادی بین‌المللی	Category:International_Freedom_Battalion	International_Freedom_Battalion
 	رده:اینوویک	Category:Inuvik	Inuvik
 	رده:سبک ایتالیایی‌مآب	Category:Italianate_architecture	Italianate_architecture
 	رده:برکه‌نورد	Category:Jacanidae	Jacanidae
 	رده:جیمز بازول	Category:James_Boswell	James_Boswell
 	رده:بخش جمو	Category:Jammu_district	Jammu_district
 	رده:ژان-بتیست لامارک	Category:Jean-Baptiste_Lamarck	Jean-Baptiste_Lamarck
 	رده:بخش جوناگره	Category:Junagadh_district	Junagadh_district
 	رده:شهرداری یکابپلیس	Category:Jēkabpils_Municipality	Jēkabpils_Municipality
 	رده:بخش کیمور	Category:Kaimur_district	Kaimur_district
 	رده:کالایوکی	Category:Kalajoki	Kalajoki
 	رده:کاله‌جیک، آنکارا	Category:Kalecik,_Ankara	Kalecik,_Ankara
 	رده:بخش کانگرا	Category:Kangra_district	Kangra_district
 	رده:بخش کنیاکماری	Category:Kanyakumari_district	Kanyakumari_district
 	رده:قرامانیان	Category:Karamanids	Karamanids
 	رده:شهرستان کارگل	Category:Kargil_district	Kargil_district
 	رده:کاوهایوکی	Category:Kauhajoki	Kauhajoki
 	رده:کاوهاوا	Category:Kauhava	Kauhava
 	رده:کیرتسو	Category:Keiretsu	Keiretsu
 	رده:کیمی	Category:Kemi	Kemi
 	رده:کیولیس	Category:Keolis	Keolis
 	رده:جزیره کیلی	Category:Kili_Island	Kili_Island
 	رده:بخش کشی نگر	Category:Kokrajhar_district	Kokrajhar_district
 	رده:بخش کوژیکود	Category:Kozhikode_district	Kozhikode_district
 	رده:بخش کریشنا	Category:Krishna_district	Krishna_district
 	رده:بخش کرشناگری	Category:Krishnagiri_district	Krishnagiri_district
 	رده:کوهمو	Category:Kuhmo	Kuhmo
 	رده:کورم، پاکستان	Category:Kurram_Agency	Kurram_Agency
 	رده:شهرستان کشی‌نگر	Category:Kushinagar_district	Kushinagar_district
 	رده:بخش کوتچ	Category:Kutch_district	Kutch_district
 	رده:لا لینئا د لا کنسپسیون	Category:La_Línea_de_la_Concepción	La_Línea_de_la_Concepción
 	رده:لاندهی تاون	Category:Landhi_Town	Landhi_Town
 	رده:لنگلی، بریتیش کلمبیا (شهرداری ناحیه)	Category:Langley,_British_Columbia_(district_municipality)	Langley,_British_Columbia_(district_municipality)
 	رده:لاوچکین	Category:Lavochkin	Lavochkin
 	رده:بخش لیهه	Category:Leh_district	Leh_district
 	رده:لیسکا	Category:Lieksa	Lieksa
 	رده:لیلستروم	Category:Lillestrøm	Lillestrøm
 	رده:محدودیت‌ها محاسبات	Category:Limits_of_computation	Limits_of_computation
 	رده:آناغالیسیان	Category:Linderniaceae	Linderniaceae
 	رده:پروژه سرور ترمینال لینوکس	Category:Linux_Terminal_Server_Project	Linux_Terminal_Server_Project
 	رده:شهرستان لادن، ویرجینیا	Category:Loudoun_County,_Virginia	Loudoun_County,_Virginia
 	رده:لوویسا	Category:Loviisa	Loviisa
 	رده:لوور ایست ساید	Category:Lower_East_Side	Lower_East_Side
 	رده:مدیسن، کنتیکت	Category:Madison,_Connecticut	Madison,_Connecticut
 	رده:شمشیردارها	Category:Makaira	Makaira
 	رده:ناباروری مردان	Category:Male_infertility	Male_infertility
 	رده:آب‌سنگ حلقوی ماولاپ	Category:Maloelap_Atoll	Maloelap_Atoll
 	رده:مالپیگیان	Category:Malpighiaceae	Malpighiaceae
 	رده:مک‌کینزی اند کامپنی	Category:McKinsey_&_Company	McKinsey_&_Company
 	رده:معنا (فلسفه زبان)	Category:Meaning_(philosophy_of_language)	Meaning_(philosophy_of_language)
 	رده:بخش میروت	Category:Meerut_district	Meerut_district
 	رده:وانمایی	Category:Mimicry	Mimicry
 	رده:مو یی رانا	Category:Mo_i_Rana	Mo_i_Rana
 	رده:روان‌شناسی اخلاق	Category:Moral_psychology	Moral_psychology
 	رده:موسکنس	Category:Moskenes	Moskenes
 	رده:بخش مرشدآباد	Category:Murshidabad_district	Murshidabad_district
 	رده:فتح مصر به‌دست مسلمانان	Category:Muslim_conquest_of_Egypt	Muslim_conquest_of_Egypt
 	رده:ناحیه مظفرآباد	Category:Muzaffarabad_District	Muzaffarabad_District
 	رده:نافپاکتوس	Category:Nafpaktos	Nafpaktos
 	رده:خاندان نایتو	Category:Naitō_clan	Naitō_clan
 	رده:بخش نلگنده	Category:Nalgonda_district	Nalgonda_district
 	رده:بخش نمکل	Category:Namakkal_district	Namakkal_district
 	رده:خاندان نانبو	Category:Nanbu_clan	Nanbu_clan
 	رده:ان‌دولا	Category:Ndola	Ndola
 	رده:ننتس‌ها	Category:Nenets_people	Nenets_people
 	رده:نویکلن	Category:Neukölln	Neukölln
 	رده:اداره آموزش نیویورک	Category:New_York_City_Department_of_Education	New_York_City_Department_of_Education
 	رده:نایاگارا-آن-د-لیک	Category:Niagara-on-the-Lake	Niagara-on-the-Lake
 	رده:قره‌داغیان	Category:Nitrariaceae	Nitrariaceae
 	رده:خاندان نیتا	Category:Nitta_clan	Nitta_clan
 	رده:خاندان نیوا	Category:Niwa_clan	Niwa_clan
 	رده:نانساچ رکوردز	Category:Nonesuch_Records	Nonesuch_Records
 	رده:نورث یورک	Category:North_York	North_York
 	رده:ناحیه نوشکی	Category:Nushki_District	Nushki_District
 	رده:زغال‌اخته‌های ماچین	Category:Nyssaceae	Nyssaceae
 	رده:پناهندگان فلسطنی در اردن	Category:Palestinians_in_Jordan	Palestinians_in_Jordan
 	رده:بخش پالی	Category:Pali_district	Pali_district
 	رده:امپراطوری پالمیرا	Category:Palmyrene_Empire	Palmyrene_Empire
 	رده:بخش پانچ‌محل	Category:Panchmahal_district	Panchmahal_district
 	رده:ناحیه پنج‌گور	Category:Panjgur_District	Panjgur_District
 	رده:پریویل	Category:Perivale	Perivale
 	رده:آزار آشوریان به‌دست داعش	Category:Persecution_of_Christians_by_ISIL	Persecution_of_Christians_by_ISIL
 	رده:منطقه شهری فینیکس	Category:Phoenix_metropolitan_area	Phoenix_metropolitan_area
 	رده:آمله‌ها	Category:Phyllanthus	Phyllanthus
 	رده:پیکساماکی	Category:Pieksämäki	Pieksämäki
 	رده:پرتاژ لا پرری	Category:Portage_la_Prairie	Portage_la_Prairie
 	رده:نظریه دورنما	Category:Prospect_theory	Prospect_theory
 	رده:پوداسیاروی	Category:Pudasjärvi	Pudasjärvi
 	رده:پیهایاروی	Category:Pyhäjärvi	Pyhäjärvi
 	رده:قاقورتوق	Category:Qaqortoq	Qaqortoq
 	رده:ناحیه کوئته	Category:Quetta_District	Quetta_District
